"filename", "language", "Batch", "Python", "Markdown", "JSON", "JavaScript", "PostCSS", "HTML", "XML", "pip requirements", "comment", "blank", "total"
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\README.md", "Markdown", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 20, 77
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\SmErRecommendation\settings.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\admin.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\migrations\0001_initial.py", "Python", 0, 149, 0, 0, 0, 0, 0, 0, 0, 1, 7, 157
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\migrations\0002_comment.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\models.py", "Python", 0, 137, 0, 0, 0, 0, 0, 0, 0, 3, 34, 174
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\serializers.py", "Python", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\tests.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\urls.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\views.py", "Python", 0, 526, 0, 0, 0, 0, 0, 0, 0, 34, 117, 677
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\config\scm_config.json", "JSON", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 40
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\count_lines.bat", "Batch", 34, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 59
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\admin_window.py", "Python", 0, 482, 0, 0, 0, 0, 0, 0, 0, 376, 106, 964
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\app.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 6, 24
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\auth.py", "Python", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\auth_manager.py", "Python", 0, 53, 0, 0, 0, 0, 0, 0, 0, 14, 15, 82
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\auth_window.py", "Python", 0, 309, 0, 0, 0, 0, 0, 0, 0, 30, 70, 409
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\bookings_page.py", "Python", 0, 187, 0, 0, 0, 0, 0, 0, 0, 15, 33, 235
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\comments_window.py", "Python", 0, 141, 0, 0, 0, 0, 0, 0, 0, 17, 36, 194
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\community_window.py", "Python", 0, 308, 0, 0, 0, 0, 0, 0, 0, 50, 85, 443
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\create_post_window.py", "Python", 0, 132, 0, 0, 0, 0, 0, 0, 0, 14, 31, 177
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\database.py", "Python", 0, 91, 0, 0, 0, 0, 0, 0, 0, 17, 23, 131
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\favorites_page.py", "Python", 0, 155, 0, 0, 0, 0, 0, 0, 0, 8, 21, 184
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\home_page.py", "Python", 0, 287, 0, 0, 0, 0, 0, 0, 0, 13, 49, 349
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\login_window.py", "Python", 0, 86, 0, 0, 0, 0, 0, 0, 0, 7, 22, 115
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\main.py", "Python", 0, 29, 0, 0, 0, 0, 0, 0, 0, 7, 10, 46
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\main_window.py", "Python", 0, 119, 0, 0, 0, 0, 0, 0, 0, 14, 23, 156
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\profile_page.py", "Python", 0, 250, 0, 0, 0, 0, 0, 0, 0, 20, 39, 309
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\register_window.py", "Python", 0, 152, 0, 0, 0, 0, 0, 0, 0, 10, 25, 187
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\reviews_page.py", "Python", 0, 319, 0, 0, 0, 0, 0, 0, 0, 37, 58, 414
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\run.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 3, 23
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\script_library.py", "Python", 0, 170, 0, 0, 0, 0, 0, 0, 0, 14, 25, 209
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\docs\SCM_README.md", "Markdown", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 15, 105
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\docs\templates\change_request_template.md", "Markdown", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 25, 116
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\gender_recommendation\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\gender_recommendation\models.py", "Python", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\gender_recommendation\recommender.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 1, 14
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\gender_recommendation\serializers.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\gender_recommendation\urls.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\gender_recommendation\views.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\manage.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 5, 23
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\recommendation\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\recommendation\admin.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
