Date : 2025-05-31 13:55:30
Directory : d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3
Total : 241 files,  35783 codes, 5344 comments, 7761 blanks, all 48888 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript       |         97 |     19,908 |      4,208 |      5,035 |     29,151 |
| PostCSS          |         24 |      6,028 |        162 |      1,101 |      7,291 |
| Python           |         70 |      5,002 |        822 |      1,086 |      6,910 |
| HTML             |         19 |      3,602 |        140 |        435 |      4,177 |
| XML              |         23 |        880 |          0 |         21 |        901 |
| Markdown         |          5 |        272 |          0 |         70 |        342 |
| JSON             |          1 |         40 |          0 |          0 |         40 |
| Batch            |          1 |         34 |         12 |         13 |         59 |
| pip requirements |          1 |         17 |          0 |          0 |         17 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                      |        241 |     35,783 |      5,344 |      7,761 |     48,888 |
| . (Files)                                                                                                                                              |          4 |        123 |         15 |         38 |        176 |
| SmErRecommendation                                                                                                                                     |          1 |          1 |          1 |          0 |          2 |
| booking                                                                                                                                                |         11 |        921 |         40 |        193 |      1,154 |
| booking (Files)                                                                                                                                        |          8 |        753 |         38 |        179 |        970 |
| booking\migrations                                                                                                                                     |          3 |        168 |          2 |         14 |        184 |
| config                                                                                                                                                 |          1 |         40 |          0 |          0 |         40 |
| desktop_app                                                                                                                                            |         20 |      3,338 |        669 |        687 |      4,694 |
| docs                                                                                                                                                   |          2 |        181 |          0 |         40 |        221 |
| docs (Files)                                                                                                                                           |          1 |         90 |          0 |         15 |        105 |
| docs\templates                                                                                                                                         |          1 |         91 |          0 |         25 |        116 |
| gender_recommendation                                                                                                                                  |          6 |         55 |          3 |         10 |         68 |
| recommendation                                                                                                                                         |          9 |        301 |         23 |         76 |        400 |
| reviews                                                                                                                                                |          8 |        102 |          8 |         29 |        139 |
| script_murder_system                                                                                                                                   |          5 |        148 |         65 |         52 |        265 |
| scripts                                                                                                                                                |          1 |         54 |          8 |         13 |         75 |
| static                                                                                                                                                 |          1 |         24 |          6 |          4 |         34 |
| static\js                                                                                                                                              |          1 |         24 |          6 |          4 |         34 |
| staticfiles                                                                                                                                            |        145 |     26,826 |      4,364 |      6,163 |     37,353 |
| staticfiles\admin                                                                                                                                      |        123 |     22,130 |      4,034 |      5,640 |     31,804 |
| staticfiles\admin\css                                                                                                                                  |         16 |      4,045 |        114 |        955 |      5,114 |
| staticfiles\admin\css (Files)                                                                                                                          |         13 |      3,602 |        114 |        892 |      4,608 |
| staticfiles\admin\css\vendor                                                                                                                           |          3 |        443 |          0 |         63 |        506 |
| staticfiles\admin\css\vendor\select2                                                                                                                   |          3 |        443 |          0 |         63 |        506 |
| staticfiles\admin\img                                                                                                                                  |         21 |        178 |          0 |         19 |        197 |
| staticfiles\admin\img (Files)                                                                                                                          |         19 |        176 |          0 |         19 |        195 |
| staticfiles\admin\img\gis                                                                                                                              |          2 |          2 |          0 |          0 |          2 |
| staticfiles\admin\js                                                                                                                                   |         86 |     17,907 |      3,920 |      4,666 |     26,493 |
| staticfiles\admin\js (Files)                                                                                                                           |         18 |      1,606 |        193 |        145 |      1,944 |
| staticfiles\admin\js\admin                                                                                                                             |          2 |        533 |         79 |         50 |        662 |
| staticfiles\admin\js\vendor                                                                                                                            |         66 |     15,768 |      3,648 |      4,471 |     23,887 |
| staticfiles\admin\js\vendor\jquery                                                                                                                     |          2 |      6,768 |      1,888 |      2,064 |     10,720 |
| staticfiles\admin\js\vendor\select2                                                                                                                    |         62 |      5,179 |        444 |      1,399 |      7,022 |
| staticfiles\admin\js\vendor\select2 (Files)                                                                                                            |          3 |      5,120 |        385 |      1,340 |      6,845 |
| staticfiles\admin\js\vendor\select2\i18n                                                                                                               |         59 |         59 |         59 |         59 |        177 |
| staticfiles\admin\js\vendor\xregexp                                                                                                                    |          2 |      3,821 |      1,316 |      1,008 |      6,145 |
| staticfiles\rest_framework                                                                                                                             |         22 |      4,696 |        330 |        523 |      5,549 |
| staticfiles\rest_framework\css                                                                                                                         |          6 |      1,597 |         38 |         67 |      1,702 |
| staticfiles\rest_framework\docs                                                                                                                        |          6 |        665 |         36 |        121 |        822 |
| staticfiles\rest_framework\docs\css                                                                                                                    |          3 |        403 |         10 |         84 |        497 |
| staticfiles\rest_framework\docs\js                                                                                                                     |          3 |        262 |         26 |         37 |        325 |
| staticfiles\rest_framework\fonts                                                                                                                       |          2 |        702 |          0 |          2 |        704 |
| staticfiles\rest_framework\js                                                                                                                          |          8 |      1,732 |        256 |        333 |      2,321 |
| templates                                                                                                                                              |         19 |      3,602 |        140 |        435 |      4,177 |
| templates (Files)                                                                                                                                      |          8 |      2,186 |         58 |        241 |      2,485 |
| templates\booking                                                                                                                                      |         11 |      1,416 |         82 |        194 |      1,692 |
| users                                                                                                                                                  |          8 |         67 |          2 |         21 |         90 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                               | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\README.md                                                         | Markdown         |         57 |          0 |         20 |         77 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\SmErRecommendation\settings.py                                    | Python           |          1 |          1 |          0 |          2 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\__init__.py                                               | Python           |          0 |          0 |          1 |          1 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\admin.py                                                  | Python           |         22 |          0 |          5 |         27 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\apps.py                                                   | Python           |          4 |          0 |          3 |          7 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\migrations\0001_initial.py                                | Python           |        149 |          1 |          7 |        157 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\migrations\0002_comment.py                                | Python           |         19 |          1 |          6 |         26 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\migrations\__init__.py                                    | Python           |          0 |          0 |          1 |          1 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\models.py                                                 | Python           |        137 |          3 |         34 |        174 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\serializers.py                                            | Python           |         41 |          0 |         11 |         52 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\tests.py                                                  | Python           |          1 |          1 |          2 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\urls.py                                                   | Python           |         22 |          0 |          6 |         28 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\booking\views.py                                                  | Python           |        526 |         34 |        117 |        677 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\config\scm_config.json                                            | JSON             |         40 |          0 |          0 |         40 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\count_lines.bat                                                   | Batch            |         34 |         12 |         13 |         59 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\admin_window.py                                       | Python           |        482 |        376 |        106 |        964 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\app.py                                                | Python           |         13 |          5 |          6 |         24 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\auth.py                                               | Python           |         36 |          0 |          7 |         43 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\auth_manager.py                                       | Python           |         53 |         14 |         15 |         82 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\auth_window.py                                        | Python           |        309 |         30 |         70 |        409 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\bookings_page.py                                      | Python           |        187 |         15 |         33 |        235 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\comments_window.py                                    | Python           |        141 |         17 |         36 |        194 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\community_window.py                                   | Python           |        308 |         50 |         85 |        443 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\create_post_window.py                                 | Python           |        132 |         14 |         31 |        177 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\database.py                                           | Python           |         91 |         17 |         23 |        131 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\favorites_page.py                                     | Python           |        155 |          8 |         21 |        184 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\home_page.py                                          | Python           |        287 |         13 |         49 |        349 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\login_window.py                                       | Python           |         86 |          7 |         22 |        115 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\main.py                                               | Python           |         29 |          7 |         10 |         46 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\main_window.py                                        | Python           |        119 |         14 |         23 |        156 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\profile_page.py                                       | Python           |        250 |         20 |         39 |        309 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\register_window.py                                    | Python           |        152 |         10 |         25 |        187 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\reviews_page.py                                       | Python           |        319 |         37 |         58 |        414 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\run.py                                                | Python           |         19 |          1 |          3 |         23 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\desktop_app\script_library.py                                     | Python           |        170 |         14 |         25 |        209 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\docs\SCM_README.md                                                | Markdown         |         90 |          0 |         15 |        105 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\docs\templates\change_request_template.md                         | Markdown         |         91 |          0 |         25 |        116 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\gender_recommendation\__init__.py                                 | Python           |          0 |          0 |          1 |          1 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\gender_recommendation\models.py                                   | Python           |         18 |          0 |          3 |         21 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\gender_recommendation\recommender.py                              | Python           |         10 |          3 |          1 |         14 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\gender_recommendation\serializers.py                              | Python           |          6 |          0 |          1 |          7 |
